,city,company,country,date,expired,formattedLocation,formattedLocationFull,formattedRelativeTime,indeedApply,jobkey,jobtitle,language,onmousedown,snippet,source,sponsored,state,stations,url
0,Tempe,Carvana,US,"Thu, 04 Jan 2018 18:21:26 GMT",False,"Tempe, AZ","Tempe, AZ",9 days ago,True,eff94cae506cb1b2,Python Engineer,en,"indeed_clk(this,'5635');","At least 2 years of experience in <b>python</b> development on Linux. The ideal candidate for this position is hungry to learn,experienced working in Linux systems and...",Carvana,False,AZ,,http://www.indeed.com/viewjob?jk=eff94cae506cb1b2&qd=kzI5tJZPkWJqoVrEwKNhYuUf1GyoJ5epwGPvrXv9tcK5ycJRMJ608P5iRe5vKKfYnX3Mn_d1sQUGgEd6p8l1qWEnnUflm_82WtmzPAYIa9s&indpubnum=8836246992678581&atk=1c3qf0re51a3q31o
1,Phoenix,American Express,US,"Tue, 26 Dec 2017 19:28:05 GMT",False,"Phoenix, AZ","Phoenix, AZ",18 days ago,False,ca057d8c4618611b,Sr. Data Analyst,en,"indeed_clk(this,'5635');","For example, <b>Python</b>, R or SAS. The Senior Data Analyst role in the Network Engineering and Optimization team will be responsible for providing analytical...",American Express,False,AZ,,http://www.indeed.com/viewjob?jk=ca057d8c4618611b&qd=kzI5tJZPkWJqoVrEwKNhYuUf1GyoJ5epwGPvrXv9tcK5ycJRMJ608P5iRe5vKKfYnX3Mn_d1sQUGgEd6p8l1qWEnnUflm_82WtmzPAYIa9s&indpubnum=8836246992678581&atk=1c3qf0re51a3q31o
2,Glendale,Bechtel,US,"Wed, 13 Dec 2017 02:48:20 GMT",False,"Glendale, AZ","Glendale, AZ",30+ days ago,False,ecca0b0118d8b856,Python Developer,en,"indeed_clk(this,'5635');",We are seeking developers who have expertise creating solutions using the <b>Python</b> language. Strong software development skills and demonstrated experience in...,Bechtel,False,AZ,,http://www.indeed.com/viewjob?jk=ecca0b0118d8b856&qd=kzI5tJZPkWJqoVrEwKNhYuUf1GyoJ5epwGPvrXv9tcK5ycJRMJ608P5iRe5vKKfYnX3Mn_d1sQUGgEd6p8l1qWEnnUflm_82WtmzPAYIa9s&indpubnum=8836246992678581&atk=1c3qf0re51a3q31o
3,Mesa,Career Evolutions,US,"Sat, 06 Jan 2018 03:02:11 GMT",False,"Mesa, AZ","Mesa, AZ 85215",8 days ago,True,75896f65ed627ab6,Junior Python Developer,en,"indeed_clk(this,'5635');","<b>Python</b> Developer for a fast growing hi-tech company based in Tempe, AZ . As a <b>Python</b> Developer you will be a key member of our client’s development team....",Career Evolutions,False,AZ,,http://www.indeed.com/viewjob?jk=75896f65ed627ab6&qd=kzI5tJZPkWJqoVrEwKNhYuUf1GyoJ5epwGPvrXv9tcK5ycJRMJ608P5iRe5vKKfYnX3Mn_d1sQUGgEd6p8l1qWEnnUflm_82WtmzPAYIa9s&indpubnum=8836246992678581&atk=1c3qf0re51a3q31o
4,Phoenix,Carvana,US,"Thu, 30 Nov 2017 02:22:38 GMT",False,"Phoenix, AZ","Phoenix, AZ",30+ days ago,True,0823526e05059631,Supply Chain Analyst,en,"indeed_clk(this,'5635');","Experience with Tableau or <b>Python</b> is a strong plus, but not required. Analyze large data sets in Excel, SQL, <b>Python</b> or similar to actively inventory performance...",Carvana,False,AZ,,http://www.indeed.com/viewjob?jk=0823526e05059631&qd=kzI5tJZPkWJqoVrEwKNhYuUf1GyoJ5epwGPvrXv9tcK5ycJRMJ608P5iRe5vKKfYnX3Mn_d1sQUGgEd6p8l1qWEnnUflm_82WtmzPAYIa9s&indpubnum=8836246992678581&atk=1c3qf0re51a3q31o
5,Phoenix,Carvana,US,"Thu, 12 Oct 2017 00:14:31 GMT",False,"Phoenix, AZ","Phoenix, AZ",30+ days ago,True,ad488b8854ce9388,Quantitative Marketing Analyst,en,"indeed_clk(this,'5635');","Ability to complete projects in <b>Python</b> (there's a <b>python</b> interview, so you'll want to know it!). Analyze large data sets in Excel, SQL, <b>Python</b> or similar to...",Carvana,False,AZ,,http://www.indeed.com/viewjob?jk=ad488b8854ce9388&qd=kzI5tJZPkWJqoVrEwKNhYuUf1GyoJ5epwGPvrXv9tcK5ycJRMJ608P5iRe5vKKfYnX3Mn_d1sQUGgEd6p8l1qWEnnUflm_82WtmzPAYIa9s&indpubnum=8836246992678581&atk=1c3qf0re51a3q31o
6,Chandler,HCL Technologies,US,"Thu, 04 Jan 2018 18:24:09 GMT",False,"Chandler, AZ","Chandler, AZ",9 days ago,True,98ce0ccefbd0dd79,Python Test Automation Developer,en,"indeed_clk(this,'5635');",Hanson experience in Manual/Automation Testing. Very Good in Python/GO with test automation development experience Good experience in REST/SOAP API Good to...,Indeed,False,AZ,,http://www.indeed.com/viewjob?jk=98ce0ccefbd0dd79&qd=kzI5tJZPkWJqoVrEwKNhYuUf1GyoJ5epwGPvrXv9tcK5ycJRMJ608P5iRe5vKKfYnX3Mn_d1sQUGgEd6p8l1qWEnnUflm_82WtmzPAYIa9s&indpubnum=8836246992678581&atk=1c3qf0re51a3q31o
7,Phoenix,Avella Specialty Pharmacy,US,"Thu, 11 Jan 2018 19:21:11 GMT",False,"Phoenix, AZ","Phoenix, AZ 85085",2 days ago,True,d13bcddeb3ef7468,Business Data Analyst,en,"indeed_clk(this,'5635');","Experience in data mining, analytical software and languages (SAS, SPSS, Modeler, SQL, <b>Python</b>). The business data analyst is a member of the Operations Team...",Indeed,False,AZ,,http://www.indeed.com/viewjob?jk=d13bcddeb3ef7468&qd=kzI5tJZPkWJqoVrEwKNhYuUf1GyoJ5epwGPvrXv9tcK5ycJRMJ608P5iRe5vKKfYnX3Mn_d1sQUGgEd6p8l1qWEnnUflm_82WtmzPAYIa9s&indpubnum=8836246992678581&atk=1c3qf0re51a3q31o
8,Phoenix,Intel,US,"Wed, 27 Dec 2017 11:17:18 GMT",False,"Phoenix, AZ","Phoenix, AZ 85018",18 days ago,False,650bd5a3c98073f3,Data Scientist,en,"indeed_clk(this,'5635');","Program languages such as <b>Python</b>, Perl, Java, R and/or scala and/or C++. Data Scientists influence how Intel does business, one data-driven decision at a time!...",Intel,False,AZ,,http://www.indeed.com/viewjob?jk=650bd5a3c98073f3&qd=kzI5tJZPkWJqoVrEwKNhYuUf1GyoJ5epwGPvrXv9tcK5ycJRMJ608P5iRe5vKKfYnX3Mn_d1sQUGgEd6p8l1qWEnnUflm_82WtmzPAYIa9s&indpubnum=8836246992678581&atk=1c3qf0re51a3q31o
9,Phoenix,American Express,US,"Thu, 11 Jan 2018 01:59:06 GMT",False,"Phoenix, AZ","Phoenix, AZ",3 days ago,False,ed1a8c250ff0ef45,Data Scientists,en,"indeed_clk(this,'5635');","And 1 year of experience with machine learning techniques, <b>Python</b>, Hadoop, Big Data, SQL, ETL processes, mathematical predictive modeling and analysis,...",American Express,False,AZ,,http://www.indeed.com/viewjob?jk=ed1a8c250ff0ef45&qd=kzI5tJZPkWJqoVrEwKNhYuUf1GyoJ5epwGPvrXv9tcK5ycJRMJ608P5iRe5vKKfYnX3Mn_d1sQUGgEd6p8l1qWEnnUflm_82WtmzPAYIa9s&indpubnum=8836246992678581&atk=1c3qf0re51a3q31o
10,Phoenix,Carvana,US,"Wed, 10 Jan 2018 22:21:46 GMT",False,"Phoenix, AZ","Phoenix, AZ",3 days ago,True,f775a9d8dc521ffe,Analytics Intern,en,"indeed_clk(this,'5635');","You will become proficient with analysis tools including SQL, Tableau, and <b>Python</b>. At Carvana, we sell cars, but we’re not salespeople....",Carvana,False,AZ,,http://www.indeed.com/viewjob?jk=f775a9d8dc521ffe&qd=kzI5tJZPkWJqoVrEwKNhYuUf1GyoJ5epwGPvrXv9tcK5ycJRMJ608P5iRe5vKKfYnX3Mn_d1sQUGgEd6p8l1qWEnnUflm_82WtmzPAYIa9s&indpubnum=8836246992678581&atk=1c3qf0re51a3q31o
11,Phoenix,Carvana,US,"Tue, 09 Jan 2018 18:21:51 GMT",False,"Phoenix, AZ","Phoenix, AZ",4 days ago,True,a46b885b75e17cba,Finance Intern,en,"indeed_clk(this,'5635');","You’ll help us transform large data sets into meaningful insights for management using tools like <b>Python</b>, R, and SQL....",Carvana,False,AZ,,http://www.indeed.com/viewjob?jk=a46b885b75e17cba&qd=kzI5tJZPkWJqoVrEwKNhYuUf1GyoJ5epwGPvrXv9tcK5ycJRMJ608P5iRe5vKKfYnX3Mn_d1sQUGgEd6p8l1qWEnnUflm_82WtmzPAYIa9s&indpubnum=8836246992678581&atk=1c3qf0re51a3q31o
12,Phoenix,Apar Technologies Inc,US,"Thu, 11 Jan 2018 21:44:04 GMT",False,"Phoenix, AZ","Phoenix, AZ",2 days ago,True,f149b97b051ba669,Big Data Analyst,en,"indeed_clk(this,'5635');","Should have experience and able to perform data Analytical insights and visualization using reporting tools Tableau, <b>Python</b>, zeppelin, machine learning etc....",Indeed,False,AZ,,http://www.indeed.com/viewjob?jk=f149b97b051ba669&qd=kzI5tJZPkWJqoVrEwKNhYuUf1GyoJ5epwGPvrXv9tcK5ycJRMJ608P5iRe5vKKfYnX3Mn_d1sQUGgEd6p8l1qWEnnUflm_82WtmzPAYIa9s&indpubnum=8836246992678581&atk=1c3qf0re51a3q31o
